Year,Region,Production,Economic_Region
2000,Ağsu,804.0,Dağlıq Şirvan
2001,Ağsu,736.0,Dağlıq Şirvan
2002,Ağsu,571.0,Dağlıq Şirvan
2003,Ağsu,1443.0,Dağlıq Şirvan
2004,Ağsu,2176.0,Dağlıq Şirvan
2005,Ağsu,2186.0,Dağlıq Şirvan
2006,Ağsu,1580.0,Dağlıq Şirvan
2007,Ağsu,1032.0,Dağlıq Şirvan
2008,Ağsu,641.0,Dağlıq Şirvan
2009,Ağsu,3.0,Dağlıq Şirvan
2010,Ağsu,0.0,Dağlıq Şirvan
2011,Ağsu,60.0,Dağlıq Şirvan
2012,Ağsu,92.0,Dağlıq Şirvan
2013,Ağsu,22.0,Dağlıq Şirvan
2014,Ağsu,0.0,Dağlıq Şirvan
2015,Ağsu,0.0,Dağlıq Şirvan
2016,Ağsu,1031.0,Dağlıq Şirvan
2017,Ağsu,2807.0,Dağlıq Şirvan
2018,Ağsu,1974.0,Dağlıq Şirvan
2019,Ağsu,994.0,Dağlıq Şirvan
2020,Ağsu,1525.0,Dağlıq Şirvan
2021,Ağsu,0.0,Dağlıq Şirvan
2022,Ağsu,0.0,Dağlıq Şirvan
2023,Ağsu,0.0,Dağlıq Şirvan
2000,Gəncə,0.0,Gəncə-Daşkəsən
2001,Gəncə,0.0,Gəncə-Daşkəsən
2002,Gəncə,138.0,Gəncə-Daşkəsən
2003,Gəncə,63.0,Gəncə-Daşkəsən
2004,Gəncə,71.0,Gəncə-Daşkəsən
2005,Gəncə,74.0,Gəncə-Daşkəsən
2006,Gəncə,71.0,Gəncə-Daşkəsən
2007,Gəncə,0.0,Gəncə-Daşkəsən
2008,Gəncə,0.0,Gəncə-Daşkəsən
2009,Gəncə,0.0,Gəncə-Daşkəsən
2010,Gəncə,0.0,Gəncə-Daşkəsən
2011,Gəncə,0.0,Gəncə-Daşkəsən
2012,Gəncə,0.0,Gəncə-Daşkəsən
2013,Gəncə,0.0,Gəncə-Daşkəsən
2014,Gəncə,0.0,Gəncə-Daşkəsən
2015,Gəncə,0.0,Gəncə-Daşkəsən
2016,Gəncə,0.0,Gəncə-Daşkəsən
2017,Gəncə,0.0,Gəncə-Daşkəsən
2018,Gəncə,0.0,Gəncə-Daşkəsən
2019,Gəncə,0.0,Gəncə-Daşkəsən
2020,Gəncə,0.0,Gəncə-Daşkəsən
2021,Gəncə,0.0,Gəncə-Daşkəsən
2022,Gəncə,0.0,Gəncə-Daşkəsən
2023,Gəncə,0.0,Gəncə-Daşkəsən
2000,Goranboy,2812.0,Gəncə-Daşkəsən
2001,Goranboy,3598.0,Gəncə-Daşkəsən
2002,Goranboy,3282.0,Gəncə-Daşkəsən
2003,Goranboy,2511.0,Gəncə-Daşkəsən
2004,Goranboy,2045.0,Gəncə-Daşkəsən
2005,Goranboy,3225.0,Gəncə-Daşkəsən
2006,Goranboy,2360.0,Gəncə-Daşkəsən
2007,Goranboy,2211.0,Gəncə-Daşkəsən
2008,Goranboy,3475.0,Gəncə-Daşkəsən
2009,Goranboy,1145.0,Gəncə-Daşkəsən
2010,Goranboy,1617.0,Gəncə-Daşkəsən
2011,Goranboy,2917.0,Gəncə-Daşkəsən
2012,Goranboy,2491.0,Gəncə-Daşkəsən
2013,Goranboy,1400.0,Gəncə-Daşkəsən
2014,Goranboy,1033.0,Gəncə-Daşkəsən
2015,Goranboy,376.0,Gəncə-Daşkəsən
2016,Goranboy,3573.0,Gəncə-Daşkəsən
2017,Goranboy,6958.0,Gəncə-Daşkəsən
2018,Goranboy,9147.0,Gəncə-Daşkəsən
2019,Goranboy,7277.0,Gəncə-Daşkəsən
2020,Goranboy,9630.7,Gəncə-Daşkəsən
2021,Goranboy,7366.5,Gəncə-Daşkəsən
2022,Goranboy,6770.0,Gəncə-Daşkəsən
2023,Goranboy,4212.7,Gəncə-Daşkəsən
2000,Samux,105.0,Gəncə-Daşkəsən
2001,Samux,130.0,Gəncə-Daşkəsən
2002,Samux,0.0,Gəncə-Daşkəsən
2003,Samux,0.0,Gəncə-Daşkəsən
2004,Samux,0.0,Gəncə-Daşkəsən
2005,Samux,23.0,Gəncə-Daşkəsən
2006,Samux,0.0,Gəncə-Daşkəsən
2007,Samux,33.0,Gəncə-Daşkəsən
2008,Samux,76.0,Gəncə-Daşkəsən
2009,Samux,71.0,Gəncə-Daşkəsən
2010,Samux,60.0,Gəncə-Daşkəsən
2011,Samux,58.0,Gəncə-Daşkəsən
2012,Samux,77.0,Gəncə-Daşkəsən
2013,Samux,72.0,Gəncə-Daşkəsən
2014,Samux,60.0,Gəncə-Daşkəsən
2015,Samux,43.0,Gəncə-Daşkəsən
2016,Samux,761.0,Gəncə-Daşkəsən
2017,Samux,47.0,Gəncə-Daşkəsən
2018,Samux,923.0,Gəncə-Daşkəsən
2019,Samux,0.0,Gəncə-Daşkəsən
2020,Samux,173.2,Gəncə-Daşkəsən
2021,Samux,0.0,Gəncə-Daşkəsən
2022,Samux,0.0,Gəncə-Daşkəsən
2023,Samux,0.0,Gəncə-Daşkəsən
2000,Ağcabədi,7761.0,Qarabağ
2001,Ağcabədi,5560.0,Qarabağ
2002,Ağcabədi,7809.0,Qarabağ
2003,Ağcabədi,8604.0,Qarabağ
2004,Ağcabədi,8645.0,Qarabağ
2005,Ağcabədi,12162.0,Qarabağ
2006,Ağcabədi,8351.0,Qarabağ
2007,Ağcabədi,6743.0,Qarabağ
2008,Ağcabədi,2775.0,Qarabağ
2009,Ağcabədi,2645.0,Qarabağ
2010,Ağcabədi,4148.0,Qarabağ
2011,Ağcabədi,7594.0,Qarabağ
2012,Ağcabədi,5521.0,Qarabağ
2013,Ağcabədi,4043.0,Qarabağ
2014,Ağcabədi,2886.0,Qarabağ
2015,Ağcabədi,2218.0,Qarabağ
2016,Ağcabədi,8852.0,Qarabağ
2017,Ağcabədi,20497.0,Qarabağ
2018,Ağcabədi,23305.0,Qarabağ
2019,Ağcabədi,32099.0,Qarabağ
2020,Ağcabədi,37992.1,Qarabağ
2021,Ağcabədi,33517.2,Qarabağ
2022,Ağcabədi,40424.4,Qarabağ
2023,Ağcabədi,36250.0,Qarabağ
2000,Ağdam,1756.0,Qarabağ
2001,Ağdam,1101.0,Qarabağ
2002,Ağdam,1845.0,Qarabağ
2003,Ağdam,3336.0,Qarabağ
2004,Ağdam,3134.0,Qarabağ
2005,Ağdam,5118.0,Qarabağ
2006,Ağdam,1942.0,Qarabağ
2007,Ağdam,950.0,Qarabağ
2008,Ağdam,311.0,Qarabağ
2009,Ağdam,264.0,Qarabağ
2010,Ağdam,98.0,Qarabağ
2011,Ağdam,546.0,Qarabağ
2012,Ağdam,342.0,Qarabağ
2013,Ağdam,242.0,Qarabağ
2014,Ağdam,147.0,Qarabağ
2015,Ağdam,71.0,Qarabağ
2016,Ağdam,833.0,Qarabağ
2017,Ağdam,6179.0,Qarabağ
2018,Ağdam,5822.0,Qarabağ
2019,Ağdam,7316.0,Qarabağ
2020,Ağdam,7099.5,Qarabağ
2021,Ağdam,6295.8,Qarabağ
2022,Ağdam,7001.5,Qarabağ
2023,Ağdam,4441.2,Qarabağ
2000,Bərdə,10683.0,Qarabağ
2001,Bərdə,6396.0,Qarabağ
2002,Bərdə,7336.0,Qarabağ
2003,Bərdə,8082.0,Qarabağ
2004,Bərdə,8582.0,Qarabağ
2005,Bərdə,17144.0,Qarabağ
2006,Bərdə,13623.0,Qarabağ
2007,Bərdə,7537.0,Qarabağ
2008,Bərdə,5353.0,Qarabağ
2009,Bərdə,2423.0,Qarabağ
2010,Bərdə,3281.0,Qarabağ
2011,Bərdə,5100.0,Qarabağ
2012,Bərdə,5221.0,Qarabağ
2013,Bərdə,3945.0,Qarabağ
2014,Bərdə,3237.0,Qarabağ
2015,Bərdə,3292.0,Qarabağ
2016,Bərdə,6925.0,Qarabağ
2017,Bərdə,22402.0,Qarabağ
2018,Bərdə,25373.0,Qarabağ
2019,Bərdə,34190.0,Qarabağ
2020,Bərdə,37295.6,Qarabağ
2021,Bərdə,29689.9,Qarabağ
2022,Bərdə,35953.6,Qarabağ
2023,Bərdə,27467.6,Qarabağ
2000,Füzuli,250.0,Qarabağ
2001,Füzuli,511.0,Qarabağ
2002,Füzuli,800.0,Qarabağ
2003,Füzuli,1500.0,Qarabağ
2004,Füzuli,1475.0,Qarabağ
2005,Füzuli,2900.0,Qarabağ
2006,Füzuli,2000.0,Qarabağ
2007,Füzuli,1405.0,Qarabağ
2008,Füzuli,39.0,Qarabağ
2009,Füzuli,134.0,Qarabağ
2010,Füzuli,162.0,Qarabağ
2011,Füzuli,638.0,Qarabağ
2012,Füzuli,398.0,Qarabağ
2013,Füzuli,327.0,Qarabağ
2014,Füzuli,155.0,Qarabağ
2015,Füzuli,5.0,Qarabağ
2016,Füzuli,522.0,Qarabağ
2017,Füzuli,2131.0,Qarabağ
2018,Füzuli,2217.0,Qarabağ
2019,Füzuli,1629.0,Qarabağ
2020,Füzuli,1796.8,Qarabağ
2021,Füzuli,1108.0,Qarabağ
2022,Füzuli,1065.5,Qarabağ
2023,Füzuli,0.0,Qarabağ
2000,Xocalı,12.0,Qarabağ
2001,Xocalı,0.0,Qarabağ
2002,Xocalı,0.0,Qarabağ
2003,Xocalı,0.0,Qarabağ
2004,Xocalı,0.0,Qarabağ
2005,Xocalı,0.0,Qarabağ
2006,Xocalı,0.0,Qarabağ
2007,Xocalı,0.0,Qarabağ
2008,Xocalı,0.0,Qarabağ
2009,Xocalı,0.0,Qarabağ
2010,Xocalı,0.0,Qarabağ
2011,Xocalı,0.0,Qarabağ
2012,Xocalı,0.0,Qarabağ
2013,Xocalı,0.0,Qarabağ
2014,Xocalı,0.0,Qarabağ
2015,Xocalı,0.0,Qarabağ
2016,Xocalı,0.0,Qarabağ
2017,Xocalı,0.0,Qarabağ
2018,Xocalı,0.0,Qarabağ
2019,Xocalı,0.0,Qarabağ
2020,Xocalı,0.0,Qarabağ
2021,Xocalı,0.0,Qarabağ
2022,Xocalı,0.0,Qarabağ
2023,Xocalı,0.0,Qarabağ
2000,Xocavənd,2.0,Qarabağ
2001,Xocavənd,0.0,Qarabağ
2002,Xocavənd,0.0,Qarabağ
2003,Xocavənd,0.0,Qarabağ
2004,Xocavənd,0.0,Qarabağ
2005,Xocavənd,0.0,Qarabağ
2006,Xocavənd,0.0,Qarabağ
2007,Xocavənd,37.0,Qarabağ
2008,Xocavənd,0.0,Qarabağ
2009,Xocavənd,0.0,Qarabağ
2010,Xocavənd,0.0,Qarabağ
2011,Xocavənd,0.0,Qarabağ
2012,Xocavənd,17.0,Qarabağ
2013,Xocavənd,0.0,Qarabağ
2014,Xocavənd,0.0,Qarabağ
2015,Xocavənd,0.0,Qarabağ
2016,Xocavənd,0.0,Qarabağ
2017,Xocavənd,0.0,Qarabağ
2018,Xocavənd,0.0,Qarabağ
2019,Xocavənd,0.0,Qarabağ
2020,Xocavənd,0.0,Qarabağ
2021,Xocavənd,0.0,Qarabağ
2022,Xocavənd,0.0,Qarabağ
2023,Xocavənd,0.0,Qarabağ
2000,Tərtər,1403.0,Qarabağ
2001,Tərtər,1773.0,Qarabağ
2002,Tərtər,3368.0,Qarabağ
2003,Tərtər,4554.0,Qarabağ
2004,Tərtər,5832.0,Qarabağ
2005,Tərtər,9789.0,Qarabağ
2006,Tərtər,4668.0,Qarabağ
2007,Tərtər,5291.0,Qarabağ
2008,Tərtər,2889.0,Qarabağ
2009,Tərtər,1438.0,Qarabağ
2010,Tərtər,1824.0,Qarabağ
2011,Tərtər,3511.0,Qarabağ
2012,Tərtər,3066.0,Qarabağ
2013,Tərtər,2009.0,Qarabağ
2014,Tərtər,1978.0,Qarabağ
2015,Tərtər,893.0,Qarabağ
2016,Tərtər,2334.0,Qarabağ
2017,Tərtər,8420.0,Qarabağ
2018,Tərtər,8197.0,Qarabağ
2019,Tərtər,11936.0,Qarabağ
2020,Tərtər,11580.0,Qarabağ
2021,Tərtər,10701.5,Qarabağ
2022,Tərtər,11253.9,Qarabağ
2023,Tərtər,6314.9,Qarabağ
2000,Cəlilabad,0.0,Lənkəran-Astara
2001,Cəlilabad,0.0,Lənkəran-Astara
2002,Cəlilabad,0.0,Lənkəran-Astara
2003,Cəlilabad,0.0,Lənkəran-Astara
2004,Cəlilabad,0.0,Lənkəran-Astara
2005,Cəlilabad,0.0,Lənkəran-Astara
2006,Cəlilabad,419.0,Lənkəran-Astara
2007,Cəlilabad,60.0,Lənkəran-Astara
2008,Cəlilabad,33.0,Lənkəran-Astara
2009,Cəlilabad,86.0,Lənkəran-Astara
2010,Cəlilabad,128.0,Lənkəran-Astara
2011,Cəlilabad,465.0,Lənkəran-Astara
2012,Cəlilabad,0.0,Lənkəran-Astara
2013,Cəlilabad,8.0,Lənkəran-Astara
2014,Cəlilabad,46.0,Lənkəran-Astara
2015,Cəlilabad,14.0,Lənkəran-Astara
2016,Cəlilabad,659.0,Lənkəran-Astara
2017,Cəlilabad,1000.0,Lənkəran-Astara
2018,Cəlilabad,1447.0,Lənkəran-Astara
2019,Cəlilabad,1311.0,Lənkəran-Astara
2020,Cəlilabad,1212.4,Lənkəran-Astara
2021,Cəlilabad,0.0,Lənkəran-Astara
2022,Cəlilabad,0.0,Lənkəran-Astara
2023,Cəlilabad,0.0,Lənkəran-Astara
2000,Ağdaş,1127.0,Mərkəzi Aran
2001,Ağdaş,1044.0,Mərkəzi Aran
2002,Ağdaş,760.0,Mərkəzi Aran
2003,Ağdaş,1024.0,Mərkəzi Aran
2004,Ağdaş,1474.0,Mərkəzi Aran
2005,Ağdaş,2310.0,Mərkəzi Aran
2006,Ağdaş,1557.0,Mərkəzi Aran
2007,Ağdaş,913.0,Mərkəzi Aran
2008,Ağdaş,439.0,Mərkəzi Aran
2009,Ağdaş,72.0,Mərkəzi Aran
2010,Ağdaş,100.0,Mərkəzi Aran
2011,Ağdaş,257.0,Mərkəzi Aran
2012,Ağdaş,276.0,Mərkəzi Aran
2013,Ağdaş,175.0,Mərkəzi Aran
2014,Ağdaş,81.0,Mərkəzi Aran
2015,Ağdaş,25.0,Mərkəzi Aran
2016,Ağdaş,1316.0,Mərkəzi Aran
2017,Ağdaş,3697.0,Mərkəzi Aran
2018,Ağdaş,3756.0,Mərkəzi Aran
2019,Ağdaş,0.0,Mərkəzi Aran
2020,Ağdaş,0.0,Mərkəzi Aran
2021,Ağdaş,0.0,Mərkəzi Aran
2022,Ağdaş,0.0,Mərkəzi Aran
2023,Ağdaş,0.0,Mərkəzi Aran
2000,Göyçay,401.0,Mərkəzi Aran
2001,Göyçay,438.0,Mərkəzi Aran
2002,Göyçay,273.0,Mərkəzi Aran
2003,Göyçay,181.0,Mərkəzi Aran
2004,Göyçay,280.0,Mərkəzi Aran
2005,Göyçay,484.0,Mərkəzi Aran
2006,Göyçay,248.0,Mərkəzi Aran
2007,Göyçay,47.0,Mərkəzi Aran
2008,Göyçay,13.0,Mərkəzi Aran
2009,Göyçay,51.0,Mərkəzi Aran
2010,Göyçay,114.0,Mərkəzi Aran
2011,Göyçay,36.0,Mərkəzi Aran
2012,Göyçay,65.0,Mərkəzi Aran
2013,Göyçay,4.0,Mərkəzi Aran
2014,Göyçay,0.0,Mərkəzi Aran
2015,Göyçay,0.0,Mərkəzi Aran
2016,Göyçay,153.0,Mərkəzi Aran
2017,Göyçay,0.0,Mərkəzi Aran
2018,Göyçay,0.0,Mərkəzi Aran
2019,Göyçay,0.0,Mərkəzi Aran
2020,Göyçay,0.0,Mərkəzi Aran
2021,Göyçay,0.0,Mərkəzi Aran
2022,Göyçay,0.0,Mərkəzi Aran
2023,Göyçay,0.0,Mərkəzi Aran
2000,Kürdəmir,2885.0,Mərkəzi Aran
2001,Kürdəmir,2963.0,Mərkəzi Aran
2002,Kürdəmir,2560.0,Mərkəzi Aran
2003,Kürdəmir,3045.0,Mərkəzi Aran
2004,Kürdəmir,2728.0,Mərkəzi Aran
2005,Kürdəmir,3012.0,Mərkəzi Aran
2006,Kürdəmir,1191.0,Mərkəzi Aran
2007,Kürdəmir,1022.0,Mərkəzi Aran
2008,Kürdəmir,689.0,Mərkəzi Aran
2009,Kürdəmir,88.0,Mərkəzi Aran
2010,Kürdəmir,21.0,Mərkəzi Aran
2011,Kürdəmir,266.0,Mərkəzi Aran
2012,Kürdəmir,81.0,Mərkəzi Aran
2013,Kürdəmir,26.0,Mərkəzi Aran
2014,Kürdəmir,12.0,Mərkəzi Aran
